Store	Product	Date	Units	Revenue
9	magazines	7/26/2012	140	$44.80 
12	cds	12/13/2013	13	$6.37 
19	books	12/13/2014	28	$20.72 
18	food	12/17/2010	24	$15.60 
8	books	1/20/2010	140	$112.00 
14	toys	9/29/2012	20	$12.80 
2	dvds	10/4/2011	31	$13.95 
6	dvds	6/25/2014	54	$17.82 
15	food	11/28/2012	129	$91.59 
11	food	11/12/2011	13	$8.84 
13	magazines	5/17/2014	121	$82.28 
1	dvds	1/24/2014	96	$55.68 
8	dvds	1/6/2010	22	$4.18 
1	magazines	8/8/2012	90	$22.50 
2	toys	1/24/2013	67	$43.55 
19	magazines	8/25/2011	112	$29.12 
13	cds	2/27/2013	134	$13.40 
20	books	9/3/2012	76	$47.88 
1	food	2/19/2012	11	$7.59 
1	dvds	5/13/2010	118	$51.92 
16	dvds	11/20/2011	112	$84.00 
12	toys	12/26/2012	150	$96.00 
13	toys	11/15/2014	49	$24.50 
4	cds	2/19/2013	104	$49.92 
4	dvds	10/6/2014	105	$39.90 
8	cds	9/13/2014	60	$18.60 
18	dvds	9/6/2014	54	$21.60 
18	cds	5/19/2012	60	$11.40 
4	cds	7/3/2013	19	$3.04 
1	toys	9/12/2011	72	$25.20 
8	toys	11/22/2011	72	$30.24 
2	magazines	8/19/2011	139	$98.69 
7	cds	12/27/2010	11	$6.16 
14	magazines	9/8/2011	117	$56.16 
1	books	3/13/2012	31	$14.57 
9	magazines	6/3/2014	39	$8.19 
5	cds	3/3/2014	135	$70.20 
5	dvds	2/25/2010	117	$67.86 
19	dvds	8/19/2011	112	$70.56 
3	cds	5/6/2011	101	$78.78 
2	toys	10/29/2010	100	$76.00 
6	books	5/25/2011	40	$32.00 
1	magazines	2/17/2011	33	$7.59 
13	cds	3/15/2011	53	$41.87 
6	toys	2/14/2012	56	$27.44 
9	toys	5/20/2010	119	$13.09 
7	food	9/30/2013	124	$64.48 
20	toys	10/20/2011	79	$21.33 
7	magazines	7/27/2013	103	$54.59 
7	magazines	2/17/2014	52	$29.64 
1	books	1/15/2010	48	$20.64 
5	cds	2/17/2014	128	$44.80 
11	dvds	4/12/2013	69	$26.22 
16	toys	4/6/2013	128	$19.20 
13	food	8/9/2010	98	$74.48 
6	dvds	1/8/2010	12	$4.92 
13	dvds	3/15/2014	30	$21.60 
16	magazines	8/20/2013	11	$6.05 
20	books	12/15/2014	147	$101.43 
18	toys	3/7/2013	50	$14.50 
11	food	6/18/2013	26	$9.10 
15	food	8/20/2014	22	$4.62 
13	books	1/17/2010	66	$8.58 
10	dvds	7/26/2010	128	$51.20 
8	food	5/31/2011	48	$7.68 
15	food	9/2/2010	130	$102.70 
11	toys	10/31/2011	115	$40.25 
3	books	5/14/2010	109	$64.31 
13	food	12/22/2011	22	$15.62 
14	books	2/21/2012	134	$85.76 
18	toys	10/16/2012	39	$7.02 
8	cds	12/5/2011	52	$21.32 
14	magazines	1/22/2014	41	$31.57 
2	dvds	11/24/2011	26	$17.68 
4	toys	3/18/2010	79	$45.82 
7	magazines	2/24/2014	85	$14.45 
18	toys	11/29/2011	35	$16.10 
7	cds	6/25/2014	55	$29.15 
14	toys	2/25/2010	77	$16.94 
1	cds	11/24/2012	81	$14.58 
5	toys	4/17/2011	69	$9.66 
10	toys	8/14/2012	76	$34.96 
2	dvds	4/11/2014	102	$68.34 
18	toys	6/9/2010	38	$22.04 
8	magazines	12/6/2011	49	$38.71 
9	food	12/3/2012	98	$35.28 
5	food	8/2/2011	81	$17.82 
15	cds	12/18/2010	59	$17.70 
17	books	8/27/2012	61	$20.74 
14	books	3/22/2014	37	$12.95 
11	toys	9/22/2011	144	$106.56 
8	books	8/14/2013	38	$8.74 
1	magazines	9/21/2012	122	$87.84 
15	magazines	7/24/2011	83	$58.93 
7	magazines	5/7/2010	85	$42.50 
7	dvds	6/26/2012	126	$61.74 
1	food	9/25/2012	52	$20.80 
5	cds	10/23/2012	16	$10.40 
16	books	3/12/2010	79	$30.81 
4	books	11/14/2014	32	$18.56 
16	magazines	11/7/2012	17	$12.58 
4	books	12/13/2012	149	$38.74 
1	food	12/10/2013	136	$76.16 
4	magazines	3/21/2012	90	$56.70 
18	food	8/20/2011	91	$72.80 
6	magazines	5/26/2012	59	$17.70 
1	toys	4/26/2014	137	$65.76 
9	food	7/19/2012	59	$30.09 
11	cds	3/13/2011	25	$13.75 
18	cds	10/26/2012	78	$39.00 
11	food	8/16/2012	44	$14.96 
4	food	5/15/2013	132	$15.84 
2	cds	9/12/2012	57	$31.92 
4	food	6/23/2013	113	$21.47 
9	magazines	1/31/2012	108	$41.04 
6	toys	8/21/2012	35	$24.85 
7	food	8/30/2011	71	$36.92 
8	dvds	8/5/2013	129	$98.04 
6	dvds	10/21/2014	73	$43.80 
12	food	12/26/2012	102	$30.60 
16	toys	3/26/2012	53	$5.30 
19	books	2/17/2012	113	$74.58 
2	books	7/13/2011	142	$62.48 
10	books	7/17/2012	54	$10.26 
2	toys	8/1/2013	61	$17.69 
13	magazines	7/26/2012	64	$14.08 
2	dvds	9/1/2010	92	$56.12 
15	dvds	9/4/2012	48	$10.56 
7	magazines	2/9/2012	111	$69.93 
2	toys	5/4/2013	11	$5.83 
19	food	8/31/2010	102	$23.46 
1	books	3/2/2012	78	$55.38 
2	cds	4/15/2011	87	$54.81 
12	toys	6/17/2011	22	$16.72 
3	magazines	1/5/2011	52	$18.72 
19	cds	5/14/2013	20	$7.60 
17	books	8/23/2010	102	$20.40 
18	dvds	6/14/2010	11	$6.71 
4	dvds	5/4/2014	10	$2.00 
15	cds	7/18/2014	12	$4.32 
10	toys	4/29/2014	138	$41.40 
20	dvds	5/1/2010	61	$17.69 
15	books	8/19/2011	128	$42.24 
10	books	8/2/2013	139	$33.36 
14	food	11/20/2010	75	$39.00 
6	cds	1/14/2010	18	$3.96 
20	food	6/24/2014	11	$5.28 
4	dvds	1/21/2012	148	$93.24 
4	cds	12/3/2013	77	$20.02 
10	food	1/3/2013	86	$16.34 
19	food	12/21/2011	15	$8.85 
7	magazines	12/11/2013	98	$31.36 
4	food	12/14/2013	26	$20.02 
1	toys	4/21/2010	46	$26.22 
14	toys	1/14/2011	132	$105.60 
18	food	4/9/2010	132	$72.60 
3	food	6/6/2011	76	$58.52 
14	dvds	4/30/2011	21	$11.13 
8	food	11/10/2011	124	$78.12 
19	toys	8/26/2013	97	$49.47 
10	dvds	10/18/2012	120	$42.00 
2	cds	3/5/2011	56	$44.24 
12	books	1/5/2013	142	$90.88 
19	magazines	10/11/2010	97	$59.17 
16	cds	9/28/2010	40	$14.80 
11	books	10/3/2011	17	$8.67 
3	cds	6/4/2012	91	$71.89 
15	dvds	9/8/2011	145	$42.05 
12	dvds	9/9/2010	48	$36.48 
20	books	2/19/2014	20	$3.20 
3	magazines	6/10/2012	105	$75.60 
16	toys	2/18/2010	118	$60.18 
14	toys	5/25/2014	73	$13.87 
17	toys	2/8/2014	87	$41.76 
18	magazines	1/24/2010	104	$63.44 
20	books	12/21/2012	100	$33.00 
3	food	7/28/2014	30	$22.50 
6	toys	6/29/2013	76	$15.96 
19	toys	8/23/2012	145	$71.05 
8	food	8/29/2010	31	$7.44 
13	magazines	10/20/2011	68	$44.88 
5	magazines	9/8/2011	145	$88.45 
4	cds	7/1/2012	122	$69.54 
2	books	9/28/2010	45	$12.60 
4	cds	10/4/2014	119	$42.84 
9	books	12/2/2010	107	$82.39 
14	toys	4/25/2013	133	$14.63 
15	magazines	4/1/2013	103	$43.26 
1	magazines	4/30/2013	121	$58.08 
14	magazines	5/7/2013	80	$54.40 
7	magazines	10/10/2010	21	$6.30 
19	toys	3/12/2013	106	$57.24 
12	cds	3/29/2014	17	$3.40 
9	dvds	12/16/2014	23	$7.82 
16	cds	6/23/2014	11	$6.27 
14	cds	10/18/2010	75	$29.25 
14	cds	12/1/2014	49	$23.52 
3	toys	3/25/2010	72	$38.16 
19	books	4/26/2012	61	$10.37 
8	food	5/20/2014	46	$5.52 
3	cds	4/29/2012	12	$4.92 
9	dvds	10/22/2011	13	$6.37 
5	toys	11/21/2012	53	$39.75 
12	food	8/17/2011	34	$27.20 
2	cds	5/1/2011	128	$76.80 
7	dvds	5/11/2012	100	$72.00 
6	toys	8/16/2012	11	$2.86 
15	books	9/1/2014	92	$69.00 
15	books	11/2/2010	104	$73.84 
7	books	11/9/2012	46	$16.10 
17	toys	3/20/2011	64	$24.32 
4	toys	10/22/2014	16	$10.88 
15	magazines	6/23/2013	75	$8.25 
14	cds	7/13/2010	99	$13.86 
19	toys	5/29/2010	47	$14.57 
15	toys	8/7/2014	77	$41.58 
13	toys	1/17/2014	87	$11.31 
5	food	3/18/2012	11	$8.14 
1	books	5/17/2010	138	$31.74 
13	dvds	12/22/2010	131	$43.23 
20	books	4/10/2010	60	$22.20 
14	toys	1/23/2014	122	$65.88 
3	books	12/11/2012	22	$2.20 
17	books	11/10/2012	121	$25.41 
6	toys	3/26/2011	80	$60.00 
2	books	4/7/2013	25	$15.50 
8	cds	8/27/2012	26	$16.38 
12	books	11/3/2012	30	$9.60 
10	books	9/2/2011	25	$8.25 
4	food	7/28/2010	29	$22.62 
5	toys	3/18/2013	73	$49.64 
4	toys	12/19/2013	74	$50.32 
14	toys	9/23/2014	123	$44.28 
2	cds	7/19/2012	21	$9.66 
2	cds	5/10/2011	123	$14.76 
5	books	5/17/2012	16	$7.52 
1	toys	9/30/2014	79	$28.44 
15	books	7/19/2010	81	$28.35 
5	toys	9/5/2014	52	$21.32 
18	magazines	3/31/2014	56	$44.80 
3	food	9/16/2013	121	$87.12 
15	magazines	12/8/2014	137	$91.79 
3	food	5/5/2010	90	$17.10 
15	toys	8/18/2010	146	$94.90 
2	food	7/20/2011	40	$27.20 
9	books	1/16/2012	42	$6.30 
16	cds	3/31/2014	51	$19.89 
2	dvds	7/31/2014	125	$86.25 
18	toys	10/1/2011	37	$29.23 
1	books	6/7/2014	148	$19.24 
9	toys	9/8/2011	134	$54.94 
17	magazines	11/9/2013	87	$26.97 
14	toys	11/13/2014	71	$9.94 
5	books	6/19/2012	115	$57.50 
4	dvds	3/17/2011	104	$65.52 
8	cds	1/3/2014	140	$82.60 
1	magazines	2/20/2012	10	$7.60 
10	dvds	6/22/2010	70	$17.50 
19	toys	6/8/2012	70	$49.70 
9	cds	9/13/2012	124	$38.44 
12	dvds	8/15/2010	105	$30.45 
19	food	8/13/2014	78	$19.50 
5	magazines	8/22/2011	77	$51.59 
11	dvds	5/18/2012	41	$29.11 
12	toys	11/10/2013	133	$94.43 
11	food	12/23/2010	15	$5.55 
7	toys	12/7/2012	113	$81.36 
8	food	10/24/2011	10	$5.50 
11	toys	2/12/2010	38	$23.18 
12	toys	4/15/2012	99	$54.45 
1	cds	5/26/2014	27	$19.98 
16	dvds	1/18/2013	68	$48.96 
5	magazines	9/17/2013	13	$2.47 
10	books	10/30/2013	58	$26.68 
20	dvds	1/27/2012	141	$95.88 
13	dvds	1/5/2013	25	$18.00 
2	cds	4/17/2013	118	$89.68 
8	magazines	1/12/2012	53	$20.67 
16	magazines	8/8/2010	26	$17.16 
1	cds	1/31/2014	131	$39.30 
7	books	2/13/2014	148	$32.56 
12	magazines	12/18/2012	132	$17.16 
2	food	3/16/2014	75	$42.00 
3	toys	6/30/2011	80	$25.60 
11	cds	1/22/2013	113	$15.82 
15	dvds	8/26/2014	130	$104.00 
9	dvds	11/21/2010	98	$36.26 
13	dvds	3/26/2014	147	$54.39 
15	magazines	11/1/2013	46	$34.96 
16	toys	1/19/2013	118	$56.64 
2	food	6/13/2013	78	$54.60 
11	toys	7/27/2013	17	$9.18 
8	magazines	1/15/2010	88	$27.28 
3	food	2/27/2012	51	$33.66 
17	toys	8/8/2010	149	$104.30 
13	books	11/27/2012	99	$22.77 
9	magazines	3/24/2011	83	$31.54 
2	food	7/3/2010	144	$21.60 
3	magazines	2/27/2010	131	$52.40 
2	magazines	5/16/2014	27	$7.83 
10	toys	9/24/2012	48	$13.92 
11	cds	7/12/2013	146	$58.40 
9	food	8/12/2010	90	$34.20 
12	magazines	4/14/2013	111	$86.58 
1	toys	6/17/2012	78	$45.24 
8	food	10/19/2010	32	$7.04 
8	dvds	4/24/2013	139	$66.72 
17	food	6/9/2012	78	$22.62 
3	food	12/28/2013	132	$79.20 
18	magazines	8/31/2013	100	$51.00 
5	dvds	7/27/2010	34	$25.16 
9	books	4/19/2012	13	$1.43 
7	books	1/10/2011	105	$66.15 
7	dvds	12/14/2011	91	$48.23 
9	food	1/12/2012	144	$103.68 
15	magazines	10/9/2014	89	$68.53 
20	cds	9/17/2011	142	$99.40 
1	food	11/5/2013	44	$12.76 
2	books	10/15/2013	26	$7.28 
6	books	1/2/2014	90	$56.70 
2	toys	7/1/2012	141	$47.94 
6	dvds	3/11/2014	28	$8.40 
5	books	5/21/2010	128	$35.84 
6	dvds	8/13/2013	39	$11.70 
3	dvds	9/8/2013	11	$4.18 
6	food	5/11/2011	110	$58.30 
17	food	4/22/2012	86	$62.78 
19	dvds	3/6/2010	56	$30.80 
7	dvds	8/1/2012	139	$19.46 
9	magazines	12/7/2013	131	$57.64 
9	dvds	11/16/2013	82	$9.02 
13	cds	7/27/2012	145	$14.50 
13	books	2/15/2013	22	$10.56 
10	toys	6/26/2011	104	$68.64 
15	dvds	1/7/2012	119	$23.80 
15	food	12/28/2011	47	$36.19 
13	books	7/19/2011	109	$15.26 
1	cds	12/25/2011	10	$6.50 
15	cds	1/18/2013	13	$1.56 
6	food	11/10/2014	57	$45.60 
12	dvds	11/11/2013	11	$5.06 
5	books	8/1/2011	23	$6.44 
10	cds	4/25/2014	42	$22.68 
4	books	6/10/2011	68	$19.72 
2	magazines	9/8/2014	114	$64.98 
9	toys	9/30/2014	144	$34.56 
19	books	1/3/2010	31	$21.08 
19	cds	2/26/2010	68	$13.60 
7	books	1/18/2013	112	$29.12 
13	dvds	5/30/2013	39	$13.65 
2	magazines	8/12/2013	46	$20.70 
8	books	7/5/2014	32	$4.80 
1	books	12/31/2011	51	$13.77 
1	toys	1/3/2013	90	$11.70 
6	cds	7/31/2010	11	$2.09 
12	magazines	12/27/2013	21	$14.07 
4	magazines	12/17/2013	91	$29.12 
13	food	12/16/2014	123	$87.33 
17	dvds	10/24/2010	14	$7.56 
12	toys	4/24/2011	86	$57.62 
1	dvds	5/16/2014	138	$37.26 
15	toys	5/18/2013	62	$48.98 
9	food	8/4/2010	134	$34.84 
1	food	10/13/2011	35	$12.60 
10	magazines	8/14/2014	113	$28.25 
20	books	4/29/2014	110	$15.40 
4	toys	3/10/2014	67	$18.76 
3	food	8/1/2011	112	$71.68 
5	food	5/3/2014	60	$23.40 
20	toys	1/23/2014	28	$18.48 
18	food	6/16/2011	101	$32.32 
18	toys	7/10/2013	60	$18.00 
11	cds	8/12/2011	11	$8.25 
16	food	1/6/2012	83	$9.96 
6	dvds	5/12/2012	67	$19.43 
7	magazines	11/28/2014	59	$33.04 
5	magazines	10/31/2010	38	$26.98 
5	cds	10/28/2010	29	$20.01 
3	magazines	4/6/2012	84	$55.44 
17	dvds	11/22/2010	141	$109.98 
3	dvds	3/26/2010	59	$33.63 
14	food	10/26/2014	122	$63.44 
1	books	9/3/2010	39	$23.79 
18	dvds	6/2/2012	82	$24.60 
11	toys	2/4/2012	14	$3.92 
1	magazines	11/20/2010	86	$30.10 
2	magazines	5/6/2012	102	$47.94 
5	toys	5/10/2010	35	$17.15 
14	books	7/11/2011	93	$64.17 
13	food	7/1/2013	140	$43.40 
1	dvds	5/29/2014	97	$11.64 
12	cds	7/28/2014	133	$47.88 
8	cds	1/18/2013	112	$69.44 
14	books	11/17/2011	43	$27.52 
14	books	12/17/2011	45	$36.00 
12	magazines	11/24/2012	54	$16.20 
7	toys	10/12/2014	79	$7.90 
17	books	8/12/2013	69	$33.12 
10	magazines	5/18/2011	120	$20.40 
8	food	2/27/2014	14	$3.78 
14	books	6/23/2013	70	$14.70 
3	food	2/19/2011	104	$40.56 
19	books	3/26/2010	31	$4.03 
2	toys	5/27/2010	126	$95.76 
17	magazines	8/23/2012	122	$91.50 
16	dvds	3/1/2012	136	$102.00 
6	dvds	1/20/2011	14	$9.24 
8	books	12/18/2012	23	$15.87 
4	food	9/27/2011	11	$3.85 
7	toys	2/7/2010	44	$18.04 
2	cds	5/4/2011	100	$50.00 
16	magazines	1/5/2010	42	$15.96 
13	books	9/29/2014	91	$42.77 
7	magazines	12/9/2011	144	$80.64 
5	food	5/12/2014	47	$15.98 
13	books	9/20/2011	21	$6.93 
1	cds	4/28/2012	123	$34.44 
10	toys	7/9/2010	88	$36.08 
19	cds	6/12/2014	31	$22.32 
9	dvds	2/20/2014	42	$20.58 
16	books	10/6/2014	80	$15.20 
14	dvds	11/10/2013	35	$25.55 
12	food	12/13/2011	70	$9.80 
17	dvds	6/18/2014	105	$44.10 
1	books	5/13/2011	40	$4.80 
16	magazines	6/25/2011	35	$9.80 
18	cds	6/13/2011	110	$74.80 
2	toys	10/2/2014	26	$8.06 
9	toys	11/1/2010	61	$10.37 
3	magazines	12/25/2014	98	$75.46 
6	magazines	5/19/2011	109	$10.90 
16	dvds	9/7/2012	115	$19.55 
18	toys	10/7/2011	39	$6.24 
8	magazines	10/25/2011	29	$6.38 
18	dvds	3/3/2014	84	$36.96 
19	dvds	9/24/2010	89	$50.73 
8	toys	1/4/2013	36	$20.52 
12	toys	7/20/2014	46	$14.26 
9	toys	8/29/2010	21	$3.78 
16	cds	10/12/2010	121	$26.62 
1	books	1/1/2012	113	$14.69 
10	books	12/26/2010	78	$31.98 
12	cds	9/7/2013	101	$28.28 
14	food	5/22/2010	43	$12.47 
14	cds	11/27/2012	37	$10.36 
7	toys	7/28/2011	126	$52.92 
9	food	6/11/2014	10	$2.80 
5	cds	8/4/2014	150	$109.50 
1	toys	10/6/2010	82	$9.02 
14	magazines	11/24/2011	107	$55.64 
17	dvds	11/2/2012	44	$7.48 
1	books	10/26/2012	112	$50.40 
3	cds	9/9/2012	82	$43.46 
20	cds	9/3/2012	127	$72.39 
9	food	3/17/2013	140	$50.40 
8	magazines	7/6/2012	40	$28.40 
6	cds	6/9/2012	49	$22.54 
16	dvds	1/6/2014	147	$64.68 
11	cds	8/11/2014	117	$78.39 
8	magazines	7/13/2012	38	$17.86 
19	food	2/14/2014	141	$46.53 
6	food	9/20/2010	146	$40.88 
17	dvds	5/16/2012	14	$8.54 
7	magazines	9/26/2010	79	$23.70 
12	books	7/26/2011	21	$10.71 
9	cds	3/22/2012	110	$14.30 
14	cds	4/21/2010	24	$8.16 
5	food	9/1/2011	62	$48.98 
12	toys	4/18/2012	19	$11.78 
13	toys	1/13/2013	41	$30.75 
8	magazines	9/23/2013	112	$82.88 
19	books	6/12/2010	73	$36.50 
19	cds	9/4/2010	143	$27.17 
15	dvds	3/25/2013	115	$64.40 
15	cds	3/10/2013	23	$10.81 
19	toys	1/27/2012	105	$32.55 
3	food	1/6/2011	123	$89.79 
8	toys	7/7/2011	72	$40.32 
11	cds	11/1/2012	148	$17.76 
7	dvds	12/18/2011	16	$5.92 
4	books	3/28/2011	51	$14.28 
7	food	4/20/2012	130	$22.10 
14	magazines	5/13/2011	94	$53.58 
19	books	11/15/2013	47	$23.97 
13	dvds	4/28/2012	12	$6.36 
1	books	2/16/2014	19	$7.98 
3	magazines	9/9/2014	107	$64.20 
2	food	6/28/2010	61	$26.23 
3	toys	3/10/2011	24	$13.20 
14	books	4/9/2010	69	$44.85 
8	food	6/2/2012	135	$76.95 
13	food	11/18/2010	70	$44.80 
1	toys	3/8/2012	91	$12.74 
20	cds	12/28/2011	103	$29.87 
11	books	2/18/2010	35	$20.65 
1	dvds	1/25/2013	42	$16.80 
7	cds	9/27/2011	41	$20.50 
